,designation,d/au,d_error/au,t/yr,z,ra/deg,dec/deg,RUWE
419,Gaia DR3 6049072316675781120,185177.74991878786,0.008753631882400791,0.0,21154390.8181801,246.77744080000002,-24.69702349,1.057994
18,Gaia DR3 6049095200261620352,186391.15461885877,0.013306976493286443,0.0,14007025.165550997,246.88793969999998,-24.68768689,1.2190143999999998
112,Gaia DR3 6049367398109200256,188777.23924455734,49.617804768363094,-10000.0,3804.6269907717474,246.70271459999998,-23.94294049,1.0997478
414,Gaia DR3 6049072282316129280,188822.0748214942,0.009678245708527244,0.0,19509948.446042046,246.76897590000002,-24.70401776,0.99915504
102,Gaia DR3 6049142646763564800,190611.4062519324,0.04885152291552267,0.0,3901851.8743325653,246.40883760000003,-24.37683392,1.2402663999999999
133,Gaia DR3 6049107020011536000,192211.85047762943,0.010305477402405762,0.0,18651426.127309594,247.17937340000003,-24.38127673,1.0808173
19,Gaia DR3 6049117877688943744,192407.6132347433,0.007338076034434081,0.0,26220444.20524759,246.70043969999998,-24.70101466,0.9818949
937,Gaia DR3 6049331526542488064,193555.5338660253,0.012463421719669009,0.0,15529887.234784635,246.40304989999998,-24.26193447,2.4505835
54,Gaia DR3 6049072213596652288,195038.35125215058,0.0056065649388630815,0.0,34787495.26295527,246.7687836,-24.71668651,0.9642959000000001
631,Gaia DR3 6049092623281148544,196238.96751760723,0.02611719438008375,0.0,7513784.392831017,246.99091830000003,-24.66727807,1.100847
58,Gaia DR3 6049367638627371776,197975.51489511903,63.062141054103066,-10000.0,3139.3719208688044,246.67086150000003,-23.93078878,1.2010281
55,Gaia DR3 6049094616145974272,198741.22787347276,0.009730425308246788,0.0,20424721.59002489,247.06877000000003,-24.61624202,0.96743995
932,Gaia DR3 6049128838445360768,199046.4210987786,57.12895196554042,-7863.10370340308,3484.1602068744633,246.4213154,-24.63056326,1.0083274
313,Gaia DR3 6049071423321049472,199174.10345521517,0.029355330339844995,0.0,6784938.242880862,246.80755440000001,-24.72556521,1.0647479
1167,Gaia DR3 6049142822858952192,202194.44870227572,0.054721938696657854,0.0,3694943.0798332584,246.3840077,-24.36902512,1.0854868
24,Gaia DR3 6049117843329171968,203706.3496709281,0.002838164527043516,0.0,71773974.95103171,246.68455469999998,-24.7206887,1.0344052
76,Gaia DR3 6049094032030421504,203803.0100476116,0.010322160648459184,0.0,19744219.935003027,247.1033287,-24.5955448,1.0775368
299,Gaia DR3 6049102965562403328,211324.95934944274,0.01771194309016336,0.0,11931212.64412857,247.19595750000002,-24.4706181,1.1039636
319,Gaia DR3 6049070736127902208,212364.49315711317,0.007717674404231724,0.0,27516643.231369067,246.6960398,-24.74172571,1.0287620000000002
259,Gaia DR3 6049370662284351360,214797.85488430553,118.55862148514605,-10000.0,1811.7438630240576,246.6549576,-23.90064623,0.9737183
237,Gaia DR3 6049140486396672128,214944.1322480049,692.7595972344384,-10000.0,310.2723269458585,246.3300965,-24.44809425,11.294768
80,Gaia DR3 6049118388788178816,218519.62471356048,0.0032755939927778623,0.0,66711449.95239329,246.5986747,-24.72064099,2.1418757
118,Gaia DR3 6049332419895686016,218810.94975753233,0.010113816982744089,0.0,21634853.59986852,246.3512102,-24.26126966,0.963966
431,Gaia DR3 6050681211424993280,220055.36657597736,80.87592533407633,-10000.0,2720.9007583775865,247.01070479999998,-23.91778642,1.0156606
501,Gaia DR3 6049331728403879552,220128.32163873126,426.1528373785629,-10000.0,516.5478258758733,246.34227059999998,-24.29749586,0.87051684
330,Gaia DR3 6049136260148851200,221065.75583548323,0.01885946559058809,0.0,11721740.193200765,246.3979269,-24.53634083,1.1248351
951,Gaia DR3 6049068361009897344,221709.23630690586,0.014133323441777704,0.0,15686985.245914605,246.89855409999998,-24.75915356,1.0031325999999998
